time,H986,H1222,H1827,H3434
1.000000000000,29.88846677,29.88704967,29.88337611,29.87318117
1314901.000000,26.22849471,25.37425007,24.97294503,25.04146816
2629801.000000,26.22849740,25.37424940,24.97294422,25.04146763
3944701.000000,26.22849463,25.37424727,24.97294175,25.04146639
5259601.000000,26.22849746,25.37424657,24.97294042,25.04146540
6574501.000000,26.22849486,25.37424524,24.97293858,25.04146425
7889401.000000,26.22849759,25.37424471,24.97293743,25.04146334
9204301.000000,26.22849514,25.37424364,24.97293584,25.04146222
10519201.00000,26.22849769,25.37424318,24.97293479,25.04146136
11834101.00000,26.22849540,25.37424224,24.97293335,25.04146029
13149001.00000,26.22849777,25.37424181,24.97293238,25.04145948
14463901.00000,26.22849564,25.37424096,24.97293106,25.04145846
15778801.00000,26.22849782,25.37424055,24.97293016,25.04145771
17093701.00000,26.22849586,25.37423978,24.97292895,25.04145675
18408601.00000,26.22849786,25.37423940,24.97292811,25.04145605
19723501.00000,26.22849606,25.37423870,24.97292701,25.04145516
21038401.00000,26.22849790,25.37423834,24.97292624,25.04145450
22353301.00000,26.22849625,25.37423770,24.97292523,25.04145368
23668201.00000,26.22849793,25.37423737,24.97292453,25.04145308
24983101.00000,26.22849643,25.37423679,24.97292361,25.04145232
26298001.00000,26.22849796,25.37423649,24.97292297,25.04145176
27612901.00000,26.22849660,25.37423597,24.97292213,25.04145106
28927801.00000,26.22849799,25.37423569,24.97292154,25.04145055
30242701.00000,26.22849675,25.37423521,24.97292077,25.04144990
31557601.00000,26.22849802,25.37423496,24.97292024,25.04144943
32872501.00000,26.22849690,25.37423453,24.97291954,25.04144883
34187401.00000,26.22849804,25.37423429,24.97291905,25.04144839
35502301.00000,26.22849703,25.37423390,24.97291841,25.04144784
36817201.00000,26.22849807,25.37423369,24.97291796,25.04144743
38132101.00000,26.22849715,25.37423333,24.97291738,25.04144692
39447001.00000,26.22849809,25.37423313,24.97291697,25.04144654
40761901.00000,26.22849726,25.37423281,24.97291644,25.04144606
42076801.00000,26.22849810,25.37423263,24.97291606,25.04144571
43391701.00000,26.22849736,25.37423233,24.97291557,25.04144526
44706601.00000,26.22849812,25.37423216,24.97291522,25.04144493
46021501.00000,26.22849744,25.37423189,24.97291477,25.04144451
47336401.00000,26.22849812,25.37423173,24.97291444,25.04144421
48651301.00000,26.22849752,25.37423148,24.97291403,25.04144381
49966201.00000,26.22849813,25.37423134,24.97291373,25.04144352
51281101.00000,26.22849758,25.37423111,24.97291334,25.04144315
52596001.00000,26.22849812,25.37423097,24.97291307,25.04144287
53910901.00000,26.22849762,25.37423076,24.97291271,25.04144252
55225801.00000,26.22849811,25.37423063,24.97291245,25.04144226
56540701.00000,26.22849766,25.37423043,24.97291212,25.04144193
57855601.00000,26.22849809,25.37423031,24.97291187,25.04144168
59170501.00000,26.22849768,25.37423012,24.97291156,25.04144136
60485401.00000,26.22849807,25.37423001,24.97291134,25.04144113
61800301.00000,26.22849769,25.37422983,24.97291104,25.04144082
63115201.00000,26.22849803,25.37422972,24.97291083,25.04144060
64430101.00000,26.22849769,25.37422955,24.97291055,25.04144030
65745001.00000,26.22849799,25.37422945,24.97291035,25.04144009
67059901.00000,26.22849768,25.37422929,24.97291009,25.04143980
68374801.00000,26.22849794,25.37422918,24.97290990,25.04143959
69689701.00000,26.22849765,25.37422903,24.97290965,25.04143932
71004601.00000,26.22849789,25.37422893,24.97290946,25.04143912
72319501.00000,26.22849762,25.37422878,24.97290923,25.04143886
73634401.00000,26.22849782,25.37422869,24.97290905,25.04143866
74949301.00000,26.22849757,25.37422854,24.97290882,25.04143841
76264201.00000,26.22849774,25.37422845,24.97290865,25.04143821
77579101.00000,26.22849751,25.37422831,24.97290843,25.04143797
78894001.00000,26.22849766,25.37422821,24.97290827,25.04143778
80208901.00000,26.22849744,25.37422808,24.97290806,25.04143754
81523801.00000,26.22849757,25.37422798,24.97290790,25.04143735
82838701.00000,26.22849736,25.37422785,24.97290770,25.04143712
84153601.00000,26.22849747,25.37422776,24.97290754,25.04143694
85468501.00000,26.22849727,25.37422762,24.97290734,25.04143670
86783401.00000,26.22849736,25.37422753,24.97290720,25.04143653
88098301.00000,26.22849717,25.37422740,24.97290700,25.04143630
89413201.00000,26.22849724,25.37422730,24.97290685,25.04143613
90728101.00000,26.22849705,25.37422717,24.97290666,25.04143590
92043001.00000,26.22849711,25.37422708,24.97290652,25.04143573
93357901.00000,26.22849693,25.37422695,24.97290633,25.04143551
94672801.00000,26.22849697,25.37422685,24.97290619,25.04143534
95987701.00000,26.22849680,25.37422672,24.97290600,25.04143512
97302601.00000,26.22849683,25.37422662,24.97290586,25.04143495
98617501.00000,26.22849666,25.37422649,24.97290568,25.04143473
99932401.00000,26.22849668,25.37422639,24.97290554,25.04143457
