time,T2939,T5197,T6358,T7847,T8895,T9681,T10390,T11229,T11707,T12049,T12242
1.000000000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000
1314901.000000,18.05950745,16.17948985,16.00651068,16.00004395,15.99996576,16.00000100,15.99999767,16.00000072,16.00000017,16.00000014,15.99999979
2629801.000000,19.81491229,16.73163268,16.04608842,16.00020867,15.99993341,16.00000284,15.99999714,16.00000129,16.00000036,16.00000036,15.99999868
3944701.000000,20.62321774,17.61644178,16.16981711,16.00095911,15.99990338,16.00000477,15.99999789,16.00000171,16.00000055,16.00000052,15.99999725
5259601.000000,20.89566793,18.60306168,16.43295688,16.00384598,15.99987786,16.00000615,15.99999939,16.00000201,16.00000073,16.00000061,15.99999593
6574501.000000,20.97250924,19.46607048,16.86144269,16.01277941,15.99986363,16.00000684,16.00000137,16.00000220,16.00000087,16.00000063,15.99999479
7889401.000000,20.99214684,20.09935296,17.43231210,16.03528183,15.99987695,16.00000655,16.00000360,16.00000230,16.00000098,16.00000063,15.99999384
9204301.000000,20.99696121,20.50664797,18.08183271,16.08308805,15.99996931,16.00000482,16.00000598,16.00000233,16.00000106,16.00000061,15.99999306
10519201.00000,20.99946787,20.74378323,18.73215705,16.17096798,16.00036623,15.99995650,15.99999364,15.99999966,16.00000033,16.00000059,15.99999073
11834101.00000,21.00045357,20.87208229,19.31923517,16.31435823,16.00139350,15.99991344,15.99998153,15.99999699,15.99999951,16.00000037,15.99998852
13149001.00000,21.00077294,20.93787184,19.80556720,16.52485840,16.00377730,15.99987643,15.99996959,15.99999433,15.99999857,15.99999992,15.99998660
14463901.00000,21.00086400,20.97038736,20.18092837,16.80660692,16.00883284,15.99984222,15.99995755,15.99999165,15.99999757,15.99999943,15.99998492
15778801.00000,20.99970795,20.98584126,20.45455029,17.15446895,16.01869014,15.99984064,15.99995555,15.99999063,15.99999760,15.99999962,15.99998572
17093701.00000,20.99912495,20.99273687,20.64447240,17.55390504,16.03657104,15.99984260,15.99995371,15.99998973,15.99999749,15.99999958,15.99998612
18408601.00000,20.99892807,20.99560502,20.77149846,17.98424832,16.06677552,15.99984864,15.99995166,15.99998885,15.99999733,15.99999948,15.99998642
19723501.00000,16.87794249,20.63762558,20.83866414,18.42243602,16.11453552,15.99986489,15.99994952,15.99998800,15.99999712,15.99999934,15.99998663
