time,H2939,H5197,H6358,H7847,H8895,H9681,H10390,H11229,H11707,H12049,H12242
1.000000000000,29.41024542,29.38543926,29.35913869,29.31366399,29.25974833,29.19263593,29.09616677,28.92881842,28.69174652,28.33839153,27.76755421
1314901.000000,30.94290407,30.77610416,30.64036867,30.44525161,30.26638277,30.09242438,29.89424037,29.62555613,29.30306392,28.85270213,28.14783424
2629801.000000,30.94290308,30.77610332,30.64036796,30.44525118,30.26638260,30.09242442,29.89424056,29.62555651,29.30306462,28.85270325,28.14783531
3944701.000000,30.94290141,30.77610208,30.64036701,30.44525060,30.26638235,30.09242444,29.89424080,29.62555702,29.30306545,28.85270442,28.14783638
5259601.000000,30.94290014,30.77610110,30.64036624,30.44525016,30.26638216,30.09242446,29.89424099,29.62555740,29.30306602,28.85270511,28.14783702
6574501.000000,30.94289854,30.77609982,30.64036524,30.44524956,30.26638190,30.09242447,29.89424123,29.62555788,29.30306670,28.85270590,28.14783773
7889401.000000,30.94289732,30.77609883,30.64036447,30.44524911,30.26638169,30.09242446,29.89424140,29.62555823,29.30306717,28.85270641,28.14783820
9204301.000000,30.94289578,30.77609757,30.64036347,30.44524850,30.26638140,30.09242443,29.89424160,29.62555865,29.30306772,28.85270701,28.14783873
10519201.00000,30.94289462,30.77609660,30.64036270,30.44524803,30.26638117,30.09242440,29.89424174,29.62555894,29.30306810,28.85270741,28.14783909
11834101.00000,30.94289314,30.77609536,30.64036172,30.44524741,30.26638085,30.09242433,29.89424190,29.62555930,29.30306855,28.85270788,28.14783950
13149001.00000,30.94289202,30.77609442,30.64036096,30.44524694,30.26638060,30.09242427,29.89424200,29.62555954,29.30306886,28.85270821,28.14783979
14463901.00000,30.94289060,30.77609322,30.64035999,30.44524631,30.26638025,30.09242416,29.89424212,29.62555983,29.30306923,28.85270860,28.14784013
15778801.00000,30.94288953,30.77609230,30.64035925,30.44524584,30.26637999,30.09242408,29.89424219,29.62556002,29.30306948,28.85270886,28.14784036
17093701.00000,30.94288816,30.77609113,30.64035830,30.44524521,30.26637963,30.09242394,29.89424225,29.62556025,29.30306978,28.85270917,28.14784063
18408601.00000,30.94288713,30.77609025,30.64035757,30.44524473,30.26637935,30.09242383,29.89424229,29.62556040,29.30306998,28.85270938,28.14784081
19723501.00000,30.94288583,30.77608912,30.64035664,30.44524411,30.26637897,30.09242367,29.89424232,29.62556058,29.30307022,28.85270964,28.14784103
21038401.00000,30.94288484,30.77608826,30.64035593,30.44524363,30.26637868,30.09242354,29.89424232,29.62556069,29.30307038,28.85270981,28.14784118
22353301.00000,30.94288358,30.77608716,30.64035503,30.44524300,30.26637829,30.09242335,29.89424231,29.62556081,29.30307056,28.85271000,28.14784136
23668201.00000,30.94288263,30.77608633,30.64035433,30.44524253,30.26637799,30.09242319,29.89424229,29.62556089,29.30307068,28.85271013,28.14784147
24983101.00000,30.94288143,30.77608527,30.64035345,30.44524191,30.26637758,30.09242298,29.89424224,29.62556097,29.30307081,28.85271028,28.14784161
26298001.00000,30.94288051,30.77608447,30.64035277,30.44524143,30.26637727,30.09242281,29.89424220,29.62556101,29.30307090,28.85271038,28.14784170
27612901.00000,30.94287935,30.77608344,30.64035191,30.44524081,30.26637686,30.09242258,29.89424212,29.62556105,29.30307099,28.85271049,28.14784180
28927801.00000,30.94287847,30.77608266,30.64035125,30.44524034,30.26637654,30.09242239,29.89424205,29.62556107,29.30307104,28.85271056,28.14784186
30242701.00000,30.94287735,30.77608166,30.64035040,30.44523973,30.26637612,30.09242213,29.89424194,29.62556107,29.30307109,28.85271063,28.14784194
31557601.00000,30.94287650,30.77608091,30.64034976,30.44523926,30.26637580,30.09242194,29.89424185,29.62556106,29.30307112,28.85271067,28.14784198
32872501.00000,30.94287543,30.77607994,30.64034893,30.44523865,30.26637536,30.09242166,29.89424171,29.62556103,29.30307113,28.85271071,28.14784202
34187401.00000,30.94287461,30.77607921,30.64034831,30.44523819,30.26637504,30.09242145,29.89424160,29.62556099,29.30307113,28.85271072,28.14784204
35502301.00000,30.94287357,30.77607828,30.64034750,30.44523759,30.26637460,30.09242116,29.89424144,29.62556093,29.30307112,28.85271073,28.14784206
36817201.00000,30.94287278,30.77607757,30.64034689,30.44523713,30.26637427,30.09242094,29.89424131,29.62556087,29.30307109,28.85271072,28.14784207
38132101.00000,30.94287178,30.77607666,30.64034610,30.44523653,30.26637382,30.09242063,29.89424113,29.62556078,29.30307105,28.85271071,28.14784207
39447001.00000,30.94287101,30.77607597,30.64034550,30.44523608,30.26637349,30.09242040,29.89424098,29.62556070,29.30307100,28.85271068,28.14784206
40761901.00000,30.94287004,30.77607509,30.64034474,30.44523549,30.26637304,30.09242008,29.89424078,29.62556059,29.30307093,28.85271064,28.14784203
42076801.00000,30.94286930,30.77607442,30.64034415,30.44523504,30.26637270,30.09241984,29.89424062,29.62556049,29.30307086,28.85271059,28.14784201
43391701.00000,30.94286836,30.77607356,30.64034340,30.44523445,30.26637225,30.09241951,29.89424040,29.62556035,29.30307077,28.85271053,28.14784197
44706601.00000,30.94286765,30.77607291,30.64034283,30.44523400,30.26637191,30.09241926,29.89424022,29.62556024,29.30307068,28.85271047,28.14784193
46021501.00000,30.94286674,30.77607208,30.64034209,30.44523342,30.26637145,30.09241892,29.89423999,29.62556008,29.30307057,28.85271038,28.14784188
47336401.00000,30.94286604,30.77607145,30.64034153,30.44523298,30.26637111,30.09241866,29.89423980,29.62555995,29.30307047,28.85271031,28.14784183
48651301.00000,30.94286516,30.77607063,30.64034081,30.44523241,30.26637065,30.09241831,29.89423955,29.62555977,29.30307033,28.85271020,28.14784176
49966201.00000,30.94286449,30.77607002,30.64034026,30.44523197,30.26637031,30.09241804,29.89423935,29.62555963,29.30307022,28.85271011,28.14784170
51281101.00000,30.94286363,30.77606923,30.64033956,30.44523140,30.26636985,30.09241768,29.89423908,29.62555943,29.30307006,28.85270999,28.14784161
52596001.00000,30.94286297,30.77606862,30.64033902,30.44523097,30.26636950,30.09241741,29.89423888,29.62555928,29.30306994,28.85270989,28.14784155
53910901.00000,30.94286214,30.77606785,30.64033833,30.44523040,30.26636904,30.09241705,29.89423860,29.62555907,29.30306977,28.85270976,28.14784145
